"filename", "language", "CSS", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\App.tsx", "TypeScript JSX", 0, 16, 0, 0, 3, 19
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\components\MostrarTablaConDatos.tsx", "TypeScript JSX", 0, 33, 0, 0, 3, 36
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\components\TablaDeContigencia.tsx", "TypeScript JSX", 0, 6, 0, 0, 3, 9
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\helpers\chiCuadradoDatosTabla.ts", "TypeScript", 0, 0, 7, 0, 0, 7
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\pages\HomePage.tsx", "TypeScript JSX", 0, 20, 0, 0, 3, 23
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\pages\PutDataManually.tsx", "TypeScript JSX", 0, 737, 0, 678, 11, 1426
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\pages\ReadExcelFile.tsx", "TypeScript JSX", 0, 323, 0, 354, 3, 680
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\index.css", "CSS", 12, 0, 0, 0, 2, 14
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\main.tsx", "TypeScript JSX", 0, 15, 0, 0, 2, 17
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 12, 1150, 7, 1033, 31, 2233
